Borough Name,Population,Total Crime,Dep Score,Pop Density
Barking and Dagenham,218869,18656,0.94,6065.8
Barnet,389344,26814,0.72,4488.7
Bexley,246472,14754,0.72,4070.7
Brent,339816,27296,0.9,7859.6
Bromley,329992,22275,0.62,2197.7
Camden,210136,27634,0.8,9640.9
Croydon,390719,32121,0.75,4516
Ealing,367115,28034,0.79,6611.6
Enfield,329984,28554,0.86,4082.5
Greenwich,289068,25203,0.77,6108.6
Hammersmith and Fulham,183157,19282,0.71,11161.1
Haringey,264238,28274,0.86,8930.2
Harrow,261203,14695,0.72,5175.4
Havering,262052,16813,0.75,2332.3
Hillingdon,305909,24438,0.78,2644
Hounslow,288181,23132,0.82,5148
Islington,216589,24334,0.79,14574.9
Kensington and Chelsea,143375,18125,0.7,11816.5
Kingston upon Thames,168063,10983,0.6,4512.1
Lambeth,317654,31224,0.73,11839.1
Lewisham,300553,26459,0.79,8551.5
Merton,215186,12864,0.64,5721.6
Newham,351036,32193,0.93,9690.1
Redbridge,310260,23891,0.77,5501.9
Richmond upon Thames,195278,10980,0.52,3401.9
Southwark,307637,31071,0.76,10659
Sutton,209639,12785,0.69,4781
Tower Hamlets,310306,31557,0.82,15702.9
Waltham Forest,278426,22101,0.81,7173.3
Wandsworth,327506,24976,0.59,9560
Westminster,204236,48772,0.76,9514.2
Hackney,259146,30372,0.85,13593.3
