Borough Name,Population,Total Crime,Dep Score,Pop Density,Lat,Lon,CrimeRate,Count,TopCrimeType
Barking and Dagenham,218869,18656,0.94,6065.8,51.5607,0.1557,85.24,"6,407",Violence Against The Person
Barnet,389344,26814,0.72,4488.7,51.6252,-0.1517,68.87,"7,840",Violence Against The Person
Bexley,246472,14754,0.72,4070.7,51.4549,0.1505,59.86,"5,295",Violence Against The Person
Brent,339816,27296,0.9,7859.6,51.5588,-0.2817,80.33,"8,942",Violence Against The Person
Bromley,329992,22275,0.62,2197.7,51.4039,0.0198,67.5,"6,474",Violence Against The Person
Camden,210136,27634,0.8,9640.9,51.529,-0.1255,131.51,"9,520",Theft
Croydon,390719,32121,0.75,4516,51.3714,-0.0977,82.21,"10,838",Violence Against The Person
Ealing,367115,28034,0.79,6611.6,51.513,-0.3089,76.36,"9,138",Violence Against The Person
Enfield,329984,28554,0.86,4082.5,51.6538,-0.0799,86.53,"8,873",Violence Against The Person
Greenwich,289068,25203,0.77,6108.6,51.4892,0.0648,87.19,"8,524",Violence Against The Person
Hammersmith and Fulham,183157,19282,0.71,11161.1,51.4927,-0.2339,105.28,"8,517",Theft
Hackney,259146,30372,0.85,13593.3,51.545,-0.0553,117.2,"5,219",Violence Against The Person
Haringey,264238,28274,0.86,8930.2,51.6,-0.1119,107,"7,976",Violence Against The Person
Harrow,261203,14695,0.72,5175.4,51.5898,-0.3346,56.26,"4,641",Violence Against The Person
Havering,262052,16813,0.75,2332.3,51.5812,0.1837,64.16,"5,507",Violence Against The Person
Hillingdon,305909,24438,0.78,2644,51.5441,-0.476,79.89,"7,717",Violence Against The Person
Hounslow,288181,23132,0.82,5148,51.4746,-0.368,80.27,"7,956",Violence Against The Person
Islington,216589,24334,0.79,14574.9,51.5416,-0.1022,112.35,"7,199",Theft
Kensington and Chelsea,143375,18125,0.7,11816.5,51.502,-0.1947,126.42,"5,595",Theft
Kingston upon Thames,168063,10983,0.6,4512.1,51.4085,-0.3064,65.35,"3,258",Violence Against The Person
Lambeth,317654,31224,0.73,11839.1,51.4607,-0.1163,98.3,"9,294",Violence Against The Person
Lewisham,300553,26459,0.79,8551.5,51.4452,-0.0209,88.03,"8,268",Violence Against The Person
Merton,215186,12864,0.64,5721.6,51.4014,-0.1958,59.78,"4,210",Violence Against The Person
Newham,351036,32193,0.93,9690.1,51.5077,0.0469,91.71,"9,508",Violence Against The Person
Redbridge,310260,23891,0.77,5501.9,51.559,0.0741,77,"7,506",Violence Against The Person
Richmond upon Thames,195278,10980,0.52,3401.9,51.4479,-0.326,56.23,"3,007",Violence Against The Person
Southwark,307637,31071,0.76,10659,51.4834,-0.0821,101,"8,887",Theft
Sutton,209639,12785,0.69,4781,51.3618,-0.1945,60.99,"4,394",Violence Against The Person
Tower Hamlets,310306,31557,0.82,15702.9,51.5099,-0.0059,101.7,"9,151",Violence Against The Person
Waltham Forest,278426,22101,0.81,7173.3,51.5908,-0.0134,79.38,"6,672",Violence Against The Person
Wandsworth,327506,24976,0.59,9560,51.4568,-0.191,76.26,"7,420",Violence Against The Person
Westminster,204236,48772,0.76,9514.2,51.4973,-0.1372,238.8,"20,982",Theft
