Borough Name,Offence Group,Rate
Camden,Arson and Criminal Damage,45.4
Camden,Burglary,63.1
Camden,Drug Offences,36
Camden,Fraud and Forgery,0
Camden,Miscellaneous Crimes Against Society,6.5
Camden,Possession Of Weapons,4.8
Camden,Public Order Offences,39.7
Camden,Robbery,21.5
Camden,Sexual Offences,12.9
Camden,Theft,268
Camden,Vehicle Offences,67.3
Camden,Violence Against The Person,142.8
Hammersmith and Fulham,Arson and Criminal Damage,37.4
Hammersmith and Fulham,Burglary,41.8
Hammersmith and Fulham,Drug Offences,36.6
Hammersmith and Fulham,Fraud and Forgery,0
Hammersmith and Fulham,Miscellaneous Crimes Against Society,9.6
Hammersmith and Fulham,Possession Of Weapons,4.1
Hammersmith and Fulham,Public Order Offences,39.9
Hammersmith and Fulham,Robbery,10.9
Hammersmith and Fulham,Sexual Offences,11
Hammersmith and Fulham,Theft,162.5
Hammersmith and Fulham,Vehicle Offences,80.4
Hammersmith and Fulham,Violence Against The Person,126.4
Islington,Arson and Criminal Damage,42.6
Islington,Burglary,47.4
Islington,Drug Offences,41.4
Islington,Fraud and Forgery,0
Islington,Miscellaneous Crimes Against Society,6.8
Islington,Possession Of Weapons,4.9
Islington,Public Order Offences,41.8
Islington,Robbery,21.6
Islington,Sexual Offences,11.1
Islington,Theft,223.3
Islington,Vehicle Offences,55.1
Islington,Violence Against The Person,140
Kensington and Chelsea,Arson and Criminal Damage,35.7
Kensington and Chelsea,Burglary,50.5
Kensington and Chelsea,Drug Offences,58.8
Kensington and Chelsea,Fraud and Forgery,0
Kensington and Chelsea,Miscellaneous Crimes Against Society,8.8
Kensington and Chelsea,Possession Of Weapons,6.9
Kensington and Chelsea,Public Order Offences,41.3
Kensington and Chelsea,Robbery,18.2
Kensington and Chelsea,Sexual Offences,11
Kensington and Chelsea,Theft,240.1
Kensington and Chelsea,Vehicle Offences,103.4
Kensington and Chelsea,Violence Against The Person,119.1
Westminster,Arson and Criminal Damage,52.5
Westminster,Burglary,78.8
Westminster,Drug Offences,50.9
Westminster,Fraud and Forgery,0
Westminster,Miscellaneous Crimes Against Society,11.1
Westminster,Possession Of Weapons,8.8
Westminster,Public Order Offences,59.2
Westminster,Robbery,44.6
Westminster,Sexual Offences,19.6
Westminster,Theft,575.8
Westminster,Vehicle Offences,97.8
Westminster,Violence Against The Person,204.9
