Borough Name,Offence Group,Count
Camden,ARSON AND CRIMINAL DAMAGE,1646
Camden,BURGLARY,1779
Camden,ROBBERY,1065
Camden,SEXUAL OFFENCES,702
Camden,VEHICLE OFFENCES,2769
Camden,THEFT,9520
Camden,POSSESSION OF WEAPONS,138
Camden,MISCELLANEOUS CRIMES AGAINST SOCIETY,280
Camden,PUBLIC ORDER OFFENCES,2011
Camden,DRUG OFFENCES,1408
Camden,VIOLENCE AGAINST THE PERSON,6316
Hammersmith and Fulham,PUBLIC ORDER OFFENCES,1532
Hammersmith and Fulham,THEFT,5209
Hammersmith and Fulham,VEHICLE OFFENCES,2360
Hammersmith and Fulham,VIOLENCE AGAINST THE PERSON,5219
Hammersmith and Fulham,SEXUAL OFFENCES,515
Hammersmith and Fulham,ROBBERY,416
Hammersmith and Fulham,BURGLARY,1388
Hammersmith and Fulham,POSSESSION OF WEAPONS,125
Hammersmith and Fulham,ARSON AND CRIMINAL DAMAGE,1208
Hammersmith and Fulham,DRUG OFFENCES,1081
Islington,ARSON AND CRIMINAL DAMAGE,1486
Islington,PUBLIC ORDER OFFENCES,1910
Islington,ROBBERY,1002
Islington,SEXUAL OFFENCES,578
Kensington and Chelsea,DRUG OFFENCES,1080
Kensington and Chelsea,MISCELLANEOUS CRIMES AGAINST SOCIETY,194
Kensington and Chelsea,ROBBERY,458
Kensington and Chelsea,THEFT,5595
Hammersmith and Fulham,MISCELLANEOUS CRIMES AGAINST SOCIETY,229
Kensington and Chelsea,POSSESSION OF WEAPONS,115
Kensington and Chelsea,SEXUAL OFFENCES,420
Kensington and Chelsea,VEHICLE OFFENCES,2307
Islington,BURGLARY,1776
Islington,DRUG OFFENCES,1162
Islington,MISCELLANEOUS CRIMES AGAINST SOCIETY,272
Islington,THEFT,7199
Islington,VEHICLE OFFENCES,2261
Kensington and Chelsea,BURGLARY,1371
Islington,POSSESSION OF WEAPONS,174
Kensington and Chelsea,PUBLIC ORDER OFFENCES,1348
Islington,VIOLENCE AGAINST THE PERSON,6514
Kensington and Chelsea,VIOLENCE AGAINST THE PERSON,4256
Kensington and Chelsea,ARSON AND CRIMINAL DAMAGE,981
Westminster,SEXUAL OFFENCES,1218
Westminster,THEFT,20982
Westminster,VIOLENCE AGAINST THE PERSON,9833
Westminster,ARSON AND CRIMINAL DAMAGE,2197
Westminster,BURGLARY,2268
Westminster,DRUG OFFENCES,2902
Westminster,POSSESSION OF WEAPONS,324
Westminster,PUBLIC ORDER OFFENCES,3185
Westminster,VEHICLE OFFENCES,3393
Westminster,MISCELLANEOUS CRIMES AGAINST SOCIETY,343
Westminster,ROBBERY,2127
