Borough Name,Offence Group,Count,Population,TotalBoroughCrime,Percentage,Rate,Type
Barking and Dagenham,Arson and Criminal Damage,1424,218869,18656,7.632933105,6.506174927,Peer
Barking and Dagenham,Drug Offences,1462,218869,18656,7.836620926,6.679794763,Peer
Barking and Dagenham,Miscellaneous Crimes Against Society,314,218869,18656,1.683104631,1.434648123,Peer
Barking and Dagenham,Possession Of Weapons,161,218869,18656,0.862993139,0.735599834,Peer
Barking and Dagenham,Public Order Offences,1257,218869,18656,6.737778731,5.743161434,Peer
Barking and Dagenham,Theft,3084,218869,18656,16.53087479,14.09062042,Peer
Barking and Dagenham,Vehicle Offences,2324,218869,18656,12.45711835,10.61822369,Peer
Barking and Dagenham,Sexual Offences,514,218869,18656,2.755145798,2.348436736,Peer
Barking and Dagenham,Burglary,1163,218869,18656,6.233919383,5.313680786,Peer
Barking and Dagenham,Violence Against The Person,6407,218869,18656,34.34283877,29.27321823,Peer
Barking and Dagenham,Robbery,546,218869,18656,2.926672384,2.494642914,Peer
Barnet,Arson and Criminal Damage,1780,389344,26814,6.638323264,4.571792554,Peer
Barnet,Burglary,2339,389344,26814,8.72305512,6.007540889,Peer
Barnet,Drug Offences,1076,389344,26814,4.012829119,2.763622914,Peer
Barnet,Possession Of Weapons,144,389344,26814,0.537032893,0.369852881,Peer
Barnet,Public Order Offences,2062,389344,26814,7.69001268,5.296087778,Peer
Barnet,Sexual Offences,724,389344,26814,2.700082047,1.859538095,Peer
Barnet,Theft,4959,389344,26814,18.49407026,12.73680858,Peer
Barnet,Vehicle Offences,4893,389344,26814,18.24793019,12.56729268,Peer
Barnet,Violence Against The Person,7840,389344,26814,29.23845752,20.13643462,Peer
Barnet,Robbery,605,389344,26814,2.256284031,1.553895784,Peer
Barnet,Miscellaneous Crimes Against Society,392,389344,26814,1.461922876,1.006821731,Peer
Bexley,Public Order Offences,1154,246472,14754,7.8216077,4.68207342,Peer
Bexley,Sexual Offences,427,246472,14754,2.894130405,1.732448311,Peer
Bexley,Theft,2272,246472,14754,15.39921377,9.218085624,Peer
Bexley,Burglary,732,246472,14754,4.961366409,2.96991139,Peer
Bexley,Vehicle Offences,1989,246472,14754,13.48108987,8.069882177,Peer
Bexley,Miscellaneous Crimes Against Society,292,246472,14754,1.979124305,1.184718751,Peer
Bexley,Robbery,177,246472,14754,1.199674664,0.718134311,Peer
Bexley,Arson and Criminal Damage,1403,246472,14754,9.509285617,5.692330163,Peer
Bexley,Drug Offences,918,246472,14754,6.22204148,3.724561005,Peer
Bexley,Possession Of Weapons,95,246472,14754,0.643893182,0.38543932,Peer
Bexley,Violence Against The Person,5295,246472,14754,35.88857259,21.4831705,Peer
Brent,Theft,4942,339816,27296,18.10521688,14.54316454,Peer
Brent,Arson and Criminal Damage,2012,339816,27296,7.371043376,5.920851284,Peer
Brent,Public Order Offences,2130,339816,27296,7.803341149,6.26809803,Peer
Brent,Vehicle Offences,3529,339816,27296,12.92863423,10.3850319,Peer
Brent,Burglary,1780,339816,27296,6.521101993,5.23812887,Peer
Brent,Drug Offences,1916,339816,27296,7.019343494,5.638345458,Peer
Brent,Miscellaneous Crimes Against Society,435,339816,27296,1.593640094,1.280104527,Peer
Brent,Robbery,719,339816,27296,2.63408558,2.115850931,Peer
Brent,Sexual Offences,655,339816,27296,2.399618992,1.927513713,Peer
Brent,Violence Against The Person,8942,339816,27296,32.75937866,26.31424065,Peer
Brent,Possession Of Weapons,236,339816,27296,0.864595545,0.694493491,Peer
Bromley,Possession Of Weapons,164,329992,22275,0.736251403,0.496981745,Peer
Bromley,Burglary,1493,329992,22275,6.702581369,4.524352106,Peer
Bromley,Drug Offences,1134,329992,22275,5.090909091,3.436446944,Peer
Bromley,Public Order Offences,1773,329992,22275,7.95959596,5.372857524,Peer
Bromley,Robbery,376,329992,22275,1.687991021,1.139421562,Peer
Bromley,Sexual Offences,531,329992,22275,2.383838384,1.609129918,Peer
Bromley,Arson and Criminal Damage,1799,329992,22275,8.076318743,5.451647313,Peer
Bromley,Theft,4651,329992,22275,20.87991021,14.09428107,Peer
Bromley,Miscellaneous Crimes Against Society,368,329992,22275,1.652076319,1.11517855,Peer
Bromley,Violence Against The Person,6474,329992,22275,29.06397306,19.61865742,Peer
Bromley,Vehicle Offences,3512,329992,22275,15.76655443,10.64268225,Peer
Camden,Arson and Criminal Damage,1646,210136,27634,5.956430484,7.833022424,Peer
Camden,Burglary,1779,210136,27634,6.437721647,8.465945864,Peer
Camden,Robbery,1065,210136,27634,3.853948035,5.068146343,Peer
Camden,Sexual Offences,702,210136,27634,2.540348846,3.340693646,Peer
Camden,Vehicle Offences,2769,210136,27634,10.02026489,13.17718049,Peer
Camden,Theft,9520,210136,27634,34.45031483,45.3039936,Peer
Camden,Possession Of Weapons,138,210136,27634,0.499384816,0.656717554,Peer
