Borough Name,Offence Group,Count
Camden,Arson and Criminal Damage,1910
Camden,Burglary,2653
Camden,Drug Offences,1515
Camden,Fraud and Forgery,0
Camden,Miscellaneous Crimes Against Society,272
Camden,Possession Of Weapons,200
Camden,Public Order Offences,1670
Camden,Robbery,905
Camden,Sexual Offences,543
Camden,Theft,11265
Camden,Vehicle Offences,2828
Camden,Violence Against The Person,6000
Hammersmith and Fulham,Arson and Criminal Damage,1371
Hammersmith and Fulham,Burglary,1533
Hammersmith and Fulham,Drug Offences,1341
Hammersmith and Fulham,Fraud and Forgery,0
Hammersmith and Fulham,Miscellaneous Crimes Against Society,350
Hammersmith and Fulham,Possession Of Weapons,151
Hammersmith and Fulham,Public Order Offences,1461
Hammersmith and Fulham,Robbery,398
Hammersmith and Fulham,Sexual Offences,402
Hammersmith and Fulham,Theft,5951
Hammersmith and Fulham,Vehicle Offences,2945
Hammersmith and Fulham,Violence Against The Person,4629
Islington,Arson and Criminal Damage,1844
Islington,Burglary,2052
Islington,Drug Offences,1793
Islington,Fraud and Forgery,0
Islington,Miscellaneous Crimes Against Society,295
Islington,Possession Of Weapons,211
Islington,Public Order Offences,1810
Islington,Robbery,934
Islington,Sexual Offences,482
Islington,Theft,9672
Islington,Vehicle Offences,2388
Islington,Violence Against The Person,6064
Kensington and Chelsea,Arson and Criminal Damage,1025
Kensington and Chelsea,Burglary,1447
Kensington and Chelsea,Drug Offences,1685
Kensington and Chelsea,Fraud and Forgery,0
Kensington and Chelsea,Miscellaneous Crimes Against Society,252
Kensington and Chelsea,Possession Of Weapons,197
Kensington and Chelsea,Public Order Offences,1184
Kensington and Chelsea,Robbery,522
Kensington and Chelsea,Sexual Offences,314
Kensington and Chelsea,Theft,6885
Kensington and Chelsea,Vehicle Offences,2965
Kensington and Chelsea,Violence Against The Person,3415
Westminster,Arson and Criminal Damage,2146
Westminster,Burglary,3219
Westminster,Drug Offences,2081
Westminster,Fraud and Forgery,0
Westminster,Miscellaneous Crimes Against Society,454
Westminster,Possession Of Weapons,359
Westminster,Public Order Offences,2419
Westminster,Robbery,1823
Westminster,Sexual Offences,799
Westminster,Theft,23519
Westminster,Vehicle Offences,3995
Westminster,Violence Against The Person,8368
