Borough Name,Offence Group,Count
Barking and Dagenham,ARSON AND CRIMINAL DAMAGE,1424
Barking and Dagenham,DRUG OFFENCES,1462
Barking and Dagenham,MISCELLANEOUS CRIMES AGAINST SOCIETY,314
Barking and Dagenham,POSSESSION OF WEAPONS,161
Barking and Dagenham,PUBLIC ORDER OFFENCES,1257
Barking and Dagenham,THEFT,3084
Barking and Dagenham,VEHICLE OFFENCES,2324
Barking and Dagenham,SEXUAL OFFENCES,514
Barking and Dagenham,BURGLARY,1163
Barking and Dagenham,VIOLENCE AGAINST THE PERSON,6407
Barking and Dagenham,ROBBERY,546
Barnet,ARSON AND CRIMINAL DAMAGE,1780
Barnet,BURGLARY,2339
Barnet,DRUG OFFENCES,1076
Barnet,POSSESSION OF WEAPONS,144
Barnet,PUBLIC ORDER OFFENCES,2062
Barnet,SEXUAL OFFENCES,724
Barnet,THEFT,4959
Barnet,VEHICLE OFFENCES,4893
Barnet,VIOLENCE AGAINST THE PERSON,7840
Barnet,ROBBERY,605
Barnet,MISCELLANEOUS CRIMES AGAINST SOCIETY,392
Bexley,PUBLIC ORDER OFFENCES,1154
Bexley,SEXUAL OFFENCES,427
Bexley,THEFT,2272
Bexley,BURGLARY,732
Bexley,VEHICLE OFFENCES,1989
Bexley,MISCELLANEOUS CRIMES AGAINST SOCIETY,292
Bexley,ROBBERY,177
Bexley,ARSON AND CRIMINAL DAMAGE,1403
Bexley,DRUG OFFENCES,918
Bexley,POSSESSION OF WEAPONS,95
Bexley,VIOLENCE AGAINST THE PERSON,5295
Brent,THEFT,4942
Brent,ARSON AND CRIMINAL DAMAGE,2012
Brent,PUBLIC ORDER OFFENCES,2130
Brent,VEHICLE OFFENCES,3529
Brent,BURGLARY,1780
Brent,DRUG OFFENCES,1916
Brent,MISCELLANEOUS CRIMES AGAINST SOCIETY,435
Brent,ROBBERY,719
Brent,SEXUAL OFFENCES,655
Brent,VIOLENCE AGAINST THE PERSON,8942
Brent,POSSESSION OF WEAPONS,236
Bromley,POSSESSION OF WEAPONS,164
Bromley,BURGLARY,1493
Bromley,DRUG OFFENCES,1134
Bromley,PUBLIC ORDER OFFENCES,1773
Bromley,ROBBERY,376
Bromley,SEXUAL OFFENCES,531
Bromley,ARSON AND CRIMINAL DAMAGE,1799
Bromley,THEFT,4651
Bromley,MISCELLANEOUS CRIMES AGAINST SOCIETY,368
Bromley,VIOLENCE AGAINST THE PERSON,6474
Bromley,VEHICLE OFFENCES,3512
Camden,ARSON AND CRIMINAL DAMAGE,1646
Camden,BURGLARY,1779
Camden,ROBBERY,1065
Camden,SEXUAL OFFENCES,702
Camden,VEHICLE OFFENCES,2769
Camden,THEFT,9520
Camden,POSSESSION OF WEAPONS,138
Camden,MISCELLANEOUS CRIMES AGAINST SOCIETY,280
Camden,PUBLIC ORDER OFFENCES,2011
Camden,DRUG OFFENCES,1408
Camden,VIOLENCE AGAINST THE PERSON,6316
