Offence Group,Type,Percentage
ARSON AND CRIMINAL DAMAGE,Peer Average,7
ARSON AND CRIMINAL DAMAGE,Westminster,4.5
BURGLARY,Peer Average,6.38
BURGLARY,Westminster,4.65
DRUG OFFENCES,Peer Average,6.47
DRUG OFFENCES,Westminster,5.95
MISCELLANEOUS CRIMES AGAINST SOCIETY,Peer Average,1.87
MISCELLANEOUS CRIMES AGAINST SOCIETY,Westminster,0.7
POSSESSION OF WEAPONS,Peer Average,0.89
POSSESSION OF WEAPONS,Westminster,0.66
PUBLIC ORDER OFFENCES,Peer Average,7.33
PUBLIC ORDER OFFENCES,Westminster,6.53
ROBBERY,Peer Average,2.45
ROBBERY,Westminster,4.36
SEXUAL OFFENCES,Peer Average,3
SEXUAL OFFENCES,Westminster,2.5
THEFT,Peer Average,20.33
THEFT,Westminster,43.02
VEHICLE OFFENCES,Peer Average,12.79
VEHICLE OFFENCES,Westminster,6.96
VIOLENCE AGAINST THE PERSON,Peer Average,31.5
VIOLENCE AGAINST THE PERSON,Westminster,20.16
